Date,Price,Open,High,Low,Vol.,Change %
1990-01-02,"4,004.37","3,962.18","4,004.37","3,962.18",,0.87%
1990-01-03,"4,009.47","4,014.33","4,020.86","4,007.19",,0.13%
1990-01-04,"4,000.91","4,011.22","4,016.22","3,996.68",,-0.21%
1990-01-05,"3,990.37","3,997.67","4,007.58","3,989.25",,-0.26%
1990-01-08,"3,971.07","3,981.21","3,981.21","3,963.04",,-0.48%
1990-01-09,"3,952.35","3,974.14","3,974.14","3,951.14",,-0.47%
1990-01-10,"3,941.56","3,943.67","3,946.06","3,932.69",,-0.27%
1990-01-11,"3,941.70","3,945.01","3,947.49","3,937.66",,0.00%
1990-01-12,"3,881.84","3,907.61","3,907.61","3,879.69",,-1.52%
1990-01-15,"3,894.01","3,885.75","3,898.93","3,872.99",,0.31%
1990-01-16,"3,899.98","3,872.56","3,902.03","3,872.56",,0.15%
1990-01-17,"3,872.27","3,893.98","3,897.17","3,872.27",,-0.71%
1990-01-18,"3,857.39","3,862.41","3,868.77","3,850.90",,-0.38%
1990-01-19,"3,865.07","3,872.39","3,872.39","3,856.01",,0.20%
1990-01-22,"3,801.51","3,856.47","3,856.47","3,800.87",,-1.64%
1990-01-23,"3,812.68","3,821.27","3,821.27","3,793.52",,0.29%
1990-01-24,"3,761.46","3,760.43","3,763.35","3,747.09",,-1.34%
1990-01-25,"3,749.35","3,764.40","3,764.40","3,748.42",,-0.32%
1990-01-26,"3,733.72","3,756.46","3,757.17","3,720.24",,-0.42%
1990-01-29,"3,722.52","3,738.78","3,740.85","3,720.03",,-0.30%
1990-01-30,"3,707.00","3,715.97","3,716.39","3,696.62",,-0.42%
1990-01-31,"3,704.42","3,708.21","3,708.21","3,690.45",,-0.07%
1990-02-01,"3,709.05","3,714.01","3,714.01","3,699.66",,0.12%
1990-02-02,"3,719.57","3,703.78","3,726.60","3,703.78",,0.28%
1990-02-05,"3,767.21","3,733.17","3,767.21","3,733.17",,1.28%
1990-02-06,"3,769.06","3,770.84","3,778.59","3,759.80",,0.05%
1990-02-07,"3,779.23","3,758.64","3,783.29","3,758.64",,0.27%
1990-02-08,"3,783.33","3,785.01","3,795.34","3,781.38",,0.11%
1990-02-09,"3,777.78","3,779.19","3,785.53","3,775.69",,-0.15%
1990-02-12,"3,766.27","3,775.88","3,779.30","3,764.69",,-0.30%
1990-02-13,"3,751.86","3,762.96","3,762.96","3,744.29",,-0.38%
1990-02-14,"3,750.38","3,754.30","3,759.98","3,749.71",,-0.04%
1990-02-15,"3,732.74","3,749.58","3,750.25","3,731.80",,-0.47%
1990-02-16,"3,731.68","3,737.54","3,743.81","3,730.80",,-0.03%
1990-02-19,"3,734.76","3,732.63","3,737.49","3,732.54",,0.08%
1990-02-20,"3,692.25","3,717.83","3,717.83","3,682.88",,-1.14%
1990-02-21,"3,672.46","3,660.03","3,672.59","3,660.03",,-0.54%
1990-02-22,"3,668.62","3,675.70","3,684.41","3,667.86",,-0.10%
1990-02-23,"3,652.59","3,654.06","3,663.75","3,646.33",,-0.44%
1990-02-26,"3,649.49","3,633.17","3,650.41","3,628.43",,-0.08%
1990-02-27,"3,660.28","3,659.34","3,667.19","3,656.73",,0.30%
1990-02-28,"3,686.70","3,659.59","3,692.80","3,659.59",,0.72%
1990-03-01,"3,700.15","3,682.52","3,709.51","3,682.52",,0.36%
1990-03-02,"3,707.42","3,699.35","3,711.06","3,699.35",,0.20%
1990-03-05,"3,711.97","3,712.70","3,717.59","3,709.16",,0.12%
1990-03-06,"3,723.17","3,715.62","3,723.17","3,706.07",,0.30%
1990-03-07,"3,728.60","3,727.63","3,734.80","3,723.74",,0.15%
1990-03-08,"3,752.00","3,732.76","3,752.00","3,732.76",,0.63%
1990-03-09,"3,732.90","3,739.15","3,745.14","3,729.84",,-0.51%
1990-03-12,"3,740.22","3,728.52","3,740.94","3,728.52",,0.20%
1990-03-13,"3,734.09","3,728.11","3,734.09","3,723.05",,-0.16%
1990-03-14,"3,734.63","3,734.65","3,741.66","3,727.52",,0.01%
1990-03-15,"3,757.39","3,750.77","3,757.39","3,748.72",,0.61%
1990-03-16,"3,760.70","3,771.95","3,773.82","3,760.70",,0.09%
1990-03-19,"3,772.13","3,749.16","3,772.13","3,749.16",,0.30%
1990-03-20,"3,744.60","3,767.27","3,774.18","3,739.10",,-0.73%
1990-03-21,"3,735.84","3,741.49","3,747.61","3,735.84",,-0.23%
1990-03-22,"3,704.91","3,726.54","3,732.10","3,697.51",,-0.83%
1990-03-23,"3,701.40","3,711.25","3,716.05","3,696.44",,-0.09%
1990-03-26,"3,667.46","3,681.44","3,685.15","3,666.61",,-0.92%
1990-03-27,"3,678.46","3,666.96","3,678.67","3,662.22",,0.30%
1990-03-28,"3,677.33","3,675.18","3,687.01","3,674.77",,-0.03%
1990-03-29,"3,665.87","3,677.25","3,686.93","3,664.98",,-0.31%
1990-03-30,"3,639.54","3,652.16","3,652.16","3,633.93",,-0.72%
1990-04-02,"3,612.20","3,599.41","3,612.56","3,599.41",,-0.75%
1990-04-03,"3,648.12","3,626.37","3,649.85","3,626.37",,0.99%
1990-04-04,"3,634.95","3,649.49","3,654.79","3,634.14",,-0.36%
1990-04-05,"3,630.63","3,638.96","3,643.77","3,630.37",,-0.12%
1990-04-06,"3,632.32","3,630.40","3,637.16","3,620.64",,0.05%
1990-04-09,"3,613.60","3,622.20","3,622.20","3,612.61",,-0.52%
1990-04-10,"3,594.89","3,604.29","3,604.29","3,590.03",,-0.52%
1990-04-11,"3,565.77","3,587.62","3,589.25","3,565.77",,-0.81%
1990-04-12,"3,561.12","3,566.52","3,570.67","3,560.25",,-0.13%
1990-04-16,"3,549.29","3,568.27","3,568.27","3,549.29",,-0.33%
1990-04-17,"3,513.30","3,531.12","3,531.12","3,505.83",,-1.01%
1990-04-18,"3,476.42","3,508.88","3,508.88","3,475.18",,-1.05%
1990-04-19,"3,410.61","3,458.78","3,458.78","3,408.36",,-1.89%
1990-04-20,"3,355.62","3,413.81","3,413.81","3,338.91",,-1.61%
1990-04-23,"3,344.07","3,347.25","3,348.32","3,331.43",,-0.34%
1990-04-24,"3,340.96","3,359.68","3,361.88","3,340.96",,-0.09%
1990-04-25,"3,343.17","3,342.54","3,344.27","3,329.13",,0.07%
1990-04-26,"3,369.48","3,356.87","3,369.48","3,346.90",,0.79%
1990-04-27,"3,336.08","3,372.64","3,372.64","3,336.08",,-0.99%
1990-04-30,"3,340.91","3,329.62","3,340.93","3,323.29",,0.14%
1990-05-01,"3,334.13","3,349.12","3,349.12","3,334.13",,-0.20%
1990-05-02,"3,340.34","3,338.48","3,340.34","3,324.60",,0.19%
1990-05-03,"3,346.68","3,346.64","3,355.52","3,345.16",,0.19%
1990-05-04,"3,367.84","3,362.46","3,367.84","3,350.85",,0.63%
1990-05-07,"3,421.51","3,379.55","3,423.44","3,379.55",,1.59%
1990-05-08,"3,437.97","3,434.06","3,438.23","3,425.83",,0.48%
1990-05-09,"3,464.00","3,430.16","3,464.00","3,430.16",,0.76%
1990-05-10,"3,486.47","3,476.24","3,489.60","3,472.15",,0.65%
1990-05-11,"3,534.98","3,513.42","3,536.27","3,513.42",,1.39%
1990-05-14,"3,526.50","3,543.01","3,557.63","3,526.50",,-0.24%
1990-05-15,"3,505.34","3,505.40","3,508.01","3,500.34",,-0.60%
1990-05-16,"3,486.76","3,502.83","3,504.03","3,479.21",,-0.53%
1990-05-17,"3,509.40","3,494.70","3,510.03","3,492.60",,0.65%
1990-05-18,"3,521.25","3,506.39","3,521.25","3,497.00",,0.34%
1990-05-22,"3,540.54","3,547.83","3,551.25","3,529.22",,0.55%
1990-05-23,"3,519.40","3,510.08","3,519.71","3,508.39",,-0.60%
1990-05-24,"3,510.57","3,518.47","3,519.65","3,507.18",,-0.25%
1990-05-25,"3,494.69","3,500.80","3,503.59","3,493.32",,-0.45%
1990-05-28,"3,498.68","3,495.37","3,498.94","3,491.41",,0.11%
1990-05-29,"3,524.20","3,498.41","3,524.20","3,495.89",,0.73%
1990-05-30,"3,565.55","3,546.62","3,565.67","3,546.06",,1.17%
1990-05-31,"3,581.99","3,565.40","3,586.96","3,565.40",,0.46%
1990-06-01,"3,592.99","3,607.03","3,608.73","3,591.42",,0.31%
1990-06-04,"3,601.50","3,586.70","3,601.99","3,567.14",,0.24%
1990-06-05,"3,596.67","3,608.58","3,612.29","3,592.18",,-0.13%
1990-06-06,"3,611.93","3,617.16","3,617.16","3,602.60",,0.42%
1990-06-07,"3,604.64","3,607.08","3,609.84","3,595.98",,-0.20%
