"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2016","2,736.0","2,702.0","2,754.0","2,702.0","656.21K","-0.29%"
"09/07/2016","2,744.0","2,755.0","2,766.0","2,730.0","262.97K","0.18%"
"09/06/2016","2,739.0","2,739.0","2,748.0","2,725.0","438.83K","-0.22%"
"09/05/2016","2,745.0","2,801.0","2,801.0","2,745.0","158.52K","-0.80%"
"09/02/2016","2,767.0","2,770.0","2,782.0","2,734.0","676.31K","0.62%"
"09/01/2016","2,750.0","2,739.0","2,797.0","2,735.9","213.15K","-0.18%"
"08/31/2016","2,755.0","2,758.0","2,784.0","2,740.0","385.49K","-1.57%"
"08/30/2016","2,799.0","2,763.0","2,813.0","2,762.0","190.90K","0.68%"
"08/26/2016","2,780.0","2,780.0","2,790.0","2,764.0","127.69K","-0.75%"
"08/25/2016","2,801.0","2,783.0","2,810.0","2,749.0","279.22K","-0.74%"
"08/24/2016","2,822.0","2,864.0","2,878.0","2,810.0","281.67K","-2.01%"
"08/23/2016","2,880.0","2,916.0","2,916.0","2,858.0","264.98K","-0.24%"
"08/22/2016","2,887.0","2,874.0","2,903.0","2,865.0","447.12K","-0.07%"
"08/19/2016","2,889.0","2,833.0","2,899.4","2,829.0","466.16K","0.66%"
"08/18/2016","2,870.0","2,852.0","2,882.0","2,805.0","497.08K","2.61%"
"08/17/2016","2,797.0","2,900.0","2,900.0","2,797.0","373.46K","-2.92%"
"08/16/2016","2,881.0","2,860.0","2,894.0","2,849.0","317.99K","0.35%"
"08/15/2016","2,871.0","2,895.0","2,895.0","2,855.0","406.88K","-0.17%"
"08/12/2016","2,876.0","2,856.0","2,886.0","2,856.0","238.08K","0.00%"
"08/11/2016","2,876.0","2,852.0","2,878.0","2,826.0","414.05K","1.02%"
"08/10/2016","2,847.0","2,794.0","2,849.0","2,793.0","522.54K","0.99%"
"08/09/2016","2,819.0","2,782.0","2,832.0","2,774.2","421.41K","1.59%"
"08/08/2016","2,775.0","2,774.0","2,798.0","2,766.0","","-0.14%"
"08/05/2016","2,779.0","2,769.0","2,785.0","2,753.4","559.77K","0.00%"
"08/04/2016","2,779.0","2,724.0","2,782.0","2,723.0","374.46K","2.02%"
"08/03/2016","2,724.0","2,730.0","2,742.2","2,713.0","722.57K","-0.80%"
"08/02/2016","2,746.0","2,724.0","2,750.0","2,711.0","423.22K","0.22%"
"08/01/2016","2,740.0","2,786.0","2,825.0","2,736.0","589.82K","-1.26%"
"07/29/2016","2,775.0","2,739.0","2,784.0","2,736.0","421.46K","0.98%"
"07/28/2016","2,748.0","2,749.0","2,771.0","2,740.0","403.33K","-0.04%"
"07/27/2016","2,749.0","2,726.0","2,750.0","2,726.0","218.51K","1.18%"
"07/26/2016","2,717.0","2,749.0","2,749.0","2,610.0","241.52K","-0.55%"
"07/25/2016","2,732.0","2,730.0","2,748.0","2,690.0","339.32K","-0.26%"
"07/22/2016","2,739.0","2,721.0","2,759.0","2,705.0","223.71K","0.18%"
"07/21/2016","2,734.0","2,662.0","2,783.0","2,662.0","531.91K","-0.65%"
"07/20/2016","2,752.0","2,709.0","2,764.0","2,709.0","634.22K","1.14%"
"07/19/2016","2,721.0","2,674.0","2,721.0","2,652.0","642.60K","1.19%"
"07/18/2016","2,689.0","2,640.0","2,700.4","2,640.0","344.52K","1.32%"
"07/15/2016","2,654.0","2,619.0","2,694.0","2,619.0","1.47M","0.61%"
"07/14/2016","2,638.0","2,611.0","2,655.0","2,602.6","844.21K","2.01%"
"07/13/2016","2,586.0","2,617.0","2,646.0","2,572.0","612.52K","-2.05%"
"07/12/2016","2,640.0","2,624.0","2,672.0","2,609.0","889.30K","0.19%"
"07/11/2016","2,635.0","2,597.0","2,656.0","2,564.0","663.96K","2.49%"
"07/08/2016","2,571.0","2,526.0","2,593.0","2,509.0","388.93K","2.06%"
"07/07/2016","2,519.0","2,442.0","2,556.0","2,438.0","607.63K","4.39%"
"07/06/2016","2,413.0","2,422.0","2,451.0","2,409.0","584.87K","-1.11%"
"07/05/2016","2,440.0","2,515.0","2,534.0","2,426.0","738.37K","-2.13%"
"07/04/2016","2,493.0","2,545.0","2,545.0","2,474.0","351.33K","-1.19%"
"07/01/2016","2,523.0","2,558.0","2,574.0","2,499.0","3.58M","-0.32%"
"06/30/2016","2,531.0","2,463.0","2,538.0","2,447.0","674.97K","1.57%"
"06/29/2016","2,492.0","2,460.0","2,492.0","2,420.0","616.65K","3.23%"
"06/28/2016","2,414.0","2,357.0","2,447.0","2,357.0","567.34K","5.46%"
"06/27/2016","2,289.0","2,490.0","2,493.0","2,274.0","1.52M","-8.44%"
