Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-09-08,-0.8137863250586321,-0.8201692678512181,-0.7918665772329437,-0.8387577023223001,-0.29,-0.8538705104579678,-0.8625469427597233,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-09-07,-0.8137843654352322,-0.8201563330536651,-0.7918636323523683,-0.8387508580127034,0.18,-0.8538694768698919,-0.8625465630975307,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-09-06,-0.8137855901998572,-0.8201602378982094,-0.7918680496732314,-0.8387520802108457,-0.22,-0.8538695630022314,-0.8625464897536982,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-09-05,-0.8137841204823073,-0.8201451066256001,-0.791855043117357,-0.8387471914182766,-0.80,-0.8538692184728728,-0.8625461449984634,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-09-02,-0.813778731517958,-0.8201526722619047,-0.7918597058449346,-0.8387498802541896,0.62,-0.853867874808374,-0.862544818854969,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-09-01,-0.8137828957176825,-0.8201602378982094,-0.7918560247442155,-0.8387494158188955,-0.18,-0.8538677111569286,-0.8625445406106328,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-31,-0.8137816709530575,-0.820155600895313,-0.7918592150315054,-0.8387484136164189,-1.57,-0.8538674096937398,-0.8625440756673055,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-30,-0.8137708930243588,-0.8201543806313929,-0.7918520982367816,-0.8387430359445928,0.68,-0.8538657624127436,-0.8625416071170698,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-26,-0.8137755471299333,-0.8201502317340644,-0.7918577425912177,-0.8387425470653359,-0.75,-0.853865026699009,-0.8625404890918568,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-25,-0.8137704031185089,-0.8201494995757125,-0.7918528344569254,-0.8387462136597628,-0.74,-0.8538638954942813,-0.8625385777306999,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-24,-0.8137652591070844,-0.8201297313002067,-0.7918361468003318,-0.8387313028424269,-2.01,-0.8538616732799179,-0.8625360172764978,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-23,-0.813751051837436,-0.8201170405554375,-0.7918268213451765,-0.838719569740261,-0.24,-0.8538581590804594,-0.8625311698085273,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-22,-0.8137493371669612,-0.8201272907723666,-0.7918300116324665,-0.8387178586628619,-0.07,-0.8538543348045782,-0.8625268714939512,65.60236537624107,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-19,-0.8137488472611112,-0.8201372969365114,-0.7918308950966391,-0.8387266584894862,0.66,-0.8538506138875045,-0.8625232597755681,84.94911151103663,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-18,-0.8137535013666858,-0.8201326599336151,-0.7918351651734733,-0.8387325250405693,2.61,-0.8538479523982088,-0.862521206430962,75.54057306748987,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-17,-0.8137713829302088,-0.8201209453999819,-0.7918307478526102,-0.8387344805575968,-2.92,-0.8538467379322194,-0.8625229908392458,51.8016557856876,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-16,-0.8137508068845111,-0.8201307075113428,-0.791832220292898,-0.8387217696969171,0.35,-0.85384348212978,-0.862520464356638,65.3105355527199,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-15,-0.8137532564137607,-0.8201221656639021,-0.7918319748861834,-0.8387203030591464,-0.17,-0.8538416216712431,-0.8625188718122451,63.04513907042253,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-12,-0.8137520316491358,-0.8201316837224788,-0.7918341835466148,-0.8387200586195179,0.00,-0.8538391410598607,-0.8625173315325079,63.7227034701411,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-11,-0.8137520316491358,-0.8201326599336151,-0.7918361468003318,-0.8387273918083716,1.02,-0.8538372030822181,-0.8625160713036318,63.7227034701411,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-10,-0.81375913528396,-0.8201468149950882,-0.7918432635950555,-0.8387354583161106,0.99,-0.8538365570896707,-0.8625164164827267,56.72650108228992,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-09,-0.8137659939658594,-0.8201497436284965,-0.791847435509204,-0.8387400537811257,1.59,-0.8538381333114866,-0.8625180277196602,50.91415543935657,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-08,-0.8137767718945581,-0.8201516960507687,-0.7918557793375008,-0.8387420581860789,-0.14,-0.8538410273580994,-0.862521434146483,43.390344669334254,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-05,-0.8137757920828582,-0.8201529163146888,-0.7918589696247909,-0.8387451381253975,0.00,-0.8538438697253085,-0.8625240313918779,44.19766097022087,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
