Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-09-08,2.736,2.702,2.754,2.702,-0.29,2.736,2.736,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-09-07,2.744,2.755,2.766,2.73,0.18,2.74,2.737454545454545,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-09-06,2.739,2.739,2.748,2.725,-0.22,2.739666666666667,2.7377355371900824,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-09-05,2.745,2.801,2.801,2.745,-0.80,2.741,2.739056348610067,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-09-02,2.767,2.77,2.782,2.734,0.62,2.7462,2.7441370124991455,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-09-01,2.75,2.739,2.797,2.7359,-0.18,2.7468333333333335,2.7452030102265734,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-31,2.755,2.758,2.784,2.74,-1.57,2.748,2.746984281094469,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-30,2.799,2.763,2.813,2.762,0.68,2.754375,2.756441684531838,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-26,2.78,2.78,2.79,2.764,-0.75,2.7572222222222225,2.760725014616958,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-25,2.801,2.783,2.81,2.749,-0.74,2.7616,2.768047739232056,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-24,2.822,2.864,2.878,2.81,-2.01,2.7702,2.777857241189864,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-23,2.88,2.916,2.916,2.858,-0.24,2.7838000000000003,2.796428651882616,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-22,2.887,2.874,2.903,2.865,-0.07,2.7985999999999995,2.81289616972214,65.60236537624107,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-19,2.889,2.833,2.8994,2.829,0.66,2.813,2.82673322977266,84.94911151103663,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-18,2.87,2.852,2.882,2.805,2.61,2.8232999999999997,2.83459991526854,75.54057306748987,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-17,2.797,2.9,2.9,2.797,-2.92,2.828,2.8277635670378967,51.8016557856876,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-16,2.881,2.86,2.894,2.849,0.35,2.8406,2.8374429184855514,65.3105355527199,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-15,2.871,2.895,2.895,2.855,-0.17,2.8478000000000003,2.8435442060336324,63.04513907042253,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-12,2.876,2.856,2.886,2.856,0.00,2.8573999999999997,2.8494452594820627,63.7227034701411,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-11,2.876,2.852,2.878,2.826,1.02,2.8649,2.8542733941216873,63.7227034701411,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-10,2.847,2.794,2.849,2.793,0.99,2.8674,2.852950958826835,56.72650108228992,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-09,2.819,2.782,2.832,2.7742,1.59,2.8613,2.8467780572219556,50.91415543935657,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
