Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
1990-01-02,35970.0,35340.0,35970.0,35200.0,1.78,,35970.0,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-03,35880.0,35970.0,36060.0,35790.0,-0.25,,35953.63636363636,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-04,35570.0,35880.0,35880.0,35290.0,-0.86,,35883.88429752066,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-05,35220.0,35570.0,35570.0,35140.0,-0.98,,35763.1780616078,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-08,35380.0,35220.0,35420.0,35050.0,0.45,,35693.50932313366,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-09,34960.0,35380.0,35420.0,34960.0,-1.19,,35560.14399165481,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-10,34730.0,34960.0,34960.0,34430.0,-0.66,,35409.20872044484,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-11,34850.0,34730.0,35010.0,34730.0,0.35,,35307.53440763669,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-12,33990.0,34850.0,34850.0,33950.0,-2.47,,35067.98269715729,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-15,33700.0,33990.0,33990.0,33660.0,-0.85,35025.0,34819.25857040142,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-16,34080.0,33700.0,34080.0,33340.0,1.13,34836.0,34684.847921237524,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-17,33740.0,34080.0,34200.0,33630.0,-1.0,34622.0,34513.05739010343,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-18,33820.0,33740.0,33840.0,33400.0,0.24,34447.0,34387.04695553917,19.569182634247603,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-19,33910.0,33820.0,34050.0,33820.0,0.27,34316.0,34300.311145441134,25.71943245383477,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-22,33040.0,33910.0,34000.0,33030.0,-2.57,34082.0,34071.16366445184,18.58384240621207,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-23,33160.0,33040.0,33280.0,32870.0,0.36,33902.0,33905.497543642414,21.806298146014925,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-24,33030.0,33160.0,33170.0,32420.0,-0.39,33732.0,33746.31617207106,20.84379969434346,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-25,32610.0,33030.0,33230.0,32530.0,-1.27,33508.0,33539.713231694506,18.0689379927758,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-26,32580.0,32610.0,32860.0,32140.0,-0.09,33367.0,33365.21991684096,17.88577870227492,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-29,32520.0,32580.0,32730.0,32180.0,-0.18,33249.0,33211.54356832442,17.50362419649123,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-30,32300.0,32520.0,32570.0,31980.0,-0.68,33071.0,33045.808374083615,16.141747482033665,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-01-31,32910.0,32300.0,32910.0,32300.0,1.89,32988.0,33021.11594243205,31.951356324329907,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-02-01,32880.0,32910.0,32990.0,32780.0,-0.09,32894.0,32995.458498353495,31.635473682558285,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-02-02,33090.0,32880.0,33210.0,32810.0,0.64,32812.0,33012.647862289225,36.37715407982002,-281.4111144202543,-405.73607495658325,124.32496053632894
